# col1           col2        
  105.26300049   1.0E-8      
  105.54100037   2.0E-8      
  105.81999969   4.0E-8      
  106.10099792   7.0E-8      
  106.38300323   1.7E-7      
  106.66699982   3.0E-7      
  106.95200348   2.8E-7      
  107.23899841   1.2E-7      
  107.52700043   2.0E-8      
  107.81700134   1.5E-7      
  108.10800171   2.8E-7      
  108.40100098   2.6E-7      
  108.69599915   3.8E-7      
  108.99199677   1.19E-6     
  109.29000092   4.09E-6     
  109.58899689   9.33E-6     
  109.88999939   1.51E-5     
  110.19300079   2.143E-5    
  110.49700165   3.644E-5    
  110.8030014    5.793E-5    
  111.11100006   8.401E-5    
  111.42099762   1.2263E-4   
  111.73200226   1.8583E-4   
  112.04499817   2.5061E-4   
  112.36000061   3.2732E-4   
  112.6760025    4.2359E-4   
  112.9940033    5.6377E-4   
  113.31400299   7.4472E-4   
  113.63600159   0.00100742  
  113.95999908   0.00129182  
  114.28600311   0.00148854  
  114.61299896   0.00164058  
  114.94300079   0.0019235   
  115.27400208   0.00225064  
  115.60700226   0.00245514  
  115.94200134   0.00260314  
  116.27899933   0.00290209  
  116.61799622   0.00331417  
  116.95899963   0.00389644  
  117.30200195   0.00460337  
  117.64700317   0.00520291  
  117.9940033    0.00591098  
  118.34300232   0.00694402  
  118.69400024   0.00815097  
  119.04799652   0.00955558  
  119.40299988   0.0112793   
  119.76000214   0.0129742   
  120.12000275   0.0149096   
  120.48200226   0.0175564   
  120.84600067   0.0205002   
  121.21199799   0.0236869   
  121.58100128   0.0275294   
  121.9509964    0.0317968   
  122.3239975    0.0366715   
  122.6989975    0.0427702   
  123.07700348   0.0496095   
  123.45700073   0.0567781   
  123.83899689   0.065691    
  124.22399902   0.0763843   
  124.61100006   0.0872218   
  125.0          0.0996466   
  125.39199829   0.114529    
  125.78600311   0.129435    
  126.18299866   0.14643399  
  126.58200073   0.16654401  
  126.98400116   0.18535601  
  127.38899994   0.205597    
  127.79599762   0.23049299  
  128.20500183   0.25286201  
  128.61700439   0.27460501  
